,class,argtype,text,argtypetext
9621,Argumentative,," citizens gain the advantages of living in a large , powerful state in terms of international economic , military and political power , all available more cheaply in a state ofmillion people , and through their increased opportunities for work , study , etc, yet the advantages of living in a smaller state are preserved in terms of connection to the political process , respect for local cultural traditions and responsiveness to differing economic and physical situations .
",
7609,Argumentative,," the people are used to elections and will know what to do when they have the option to vote freely , they would vote in a broad range of candidates .
",
9927,Argumentative,,"ever since the destruction of the japanese cities of hiroshima and nagasaki induring the closing days of world war ii , the threat of global devastation through nuclear world war has hung over human civilization like a damocles ' sword .
",
7449,Non-Argumentative,,"on 6th march, after losing government control in misrata, tobruk, zawiya, brega, benghazi, and other significant population centres, gaddafi launched a counteroffensive campaign to regain control [2].
",
2941,Non-Argumentative,," accordingly, the first amendment of the constitution of the united states provides inter alia that: “congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof”.
",
11408,Argumentative,,"  secondly , it creates conformity to social norms .
",
13525,Argumentative,," for example , harriet harman is the first mp to seriously confront the gaps in the treatment of women and other minorities in the workplace1 .
",
10483,Argumentative,," furthermore , the presence of a medical staff team means a number of services can be provided for women , men , and children .
",
115,Argumentative,," later the families gather inside around a warm fire to celebrate .
",
9908,Argumentative,," people who have the misfortune to live in badly-run or totalitarian states still deserve our help when disaster strikes .
",
79,Argumentative,," these people have not consented .
",
1297,Non-Argumentative,,"one of the biggest and most influential industries in the world is the oil business; oil companies areof the world’sbiggest public companies andof the topby sales, and these are not even the world’s biggest oil companies; state owned ones are bigger.
",
9269,Argumentative,," despite more than% of private sector debt being cut down by creditors , the threat of greece 's default still lingers in the air .
",
9884,Argumentative,," as karl rove has admitted `` when people mention cuba to me , it makes me think of three things : florida , florida , and florida . ''
",
7272,Argumentative,," yet such a disciplined army is one of the vital prerequisites for security and a stable country .
",
7139,Argumentative,," on average , the underutilisation of youths in the labour market across sub-saharan africa stood at% in, work4youth  .
",
5616,Argumentative,," consider society 's reaction if the fingers of unwilling adults were forcibly removed .
",
662,Argumentative,," at the same time the curatorship of institutions such as the british museum is being called into question , as it becomes apparent that controversial cleaning and restoration practices may have harmed the sculptures they claim to protect .
",
14030,Non-Argumentative,," however, it may also be productive to discuss left and liberal extremists.
",
13782,Argumentative,," north korea has an attention seeking cycle on the go that was used by kim jong il and now seems to be used by his son kim jong un .
",
8297,Non-Argumentative,,"we are increasingly warned that there is no single story.
",
552,Argumentative,," both farming and mineral extraction are largely dependent on export markets and the customs charges and cross-border trade agreements that facilitate them .
",
1750,Argumentative,," expansion of the eu to include poorer east european and baltic states was prompted partly by this aspirational goal -- and by the large , low cost labour markets that those states contained .
",
15683,Argumentative,," as sports minister fikile mbalula argues `` sport is said to be a national religion in south africa .
",
9289,Non-Argumentative,," how bad are china's human rights violations in tibet relative to human rights violations elsewhere in the world where separatist movements exist?
",
5106,Non-Argumentative,," in this case, under the rules for informed consent, the patient must be ‘aware of’ and have ‘genuinely understood the hazards and benefits of various methods of contraception.’
",
2953,Non-Argumentative,," the court has struck down an alabaman law authorizing schools to set aside one minute at the start of each day for meditation or voluntary prayer: wallace v. jaffreeu.
",
13247,Argumentative,," non-disclosure can be perceived as objectivity .
",
9256,Argumentative,," moreover , zamora , in sieberson  states that `` international agreement is impossible to obtain when any single participant can block a decision ; to achieve unanimous consent ... a decision must be diluted so as to please everyone , '' concluding that such result is unsatisfactory and prohibits effective functioning of an international organization , mainly in regards to urgent , practical problems .
",
3384,Argumentative,," detention may be seen as a welcome respite from classes , and other punishments over time may cease to make an impression on the child .
",
9688,Argumentative,,"it is right to extend the economic and political benefits enjoyed by existing eu members to the rest of europe .
",
15672,Argumentative,," a key reason why countries host the olympic games is in order to boost their image abroad -- china held thegames in beijing as part of an exercise in national promotion .
",
11935,Argumentative,," it does not make sense for a legal system to on one hand place so much emphasis on evidence and lock away documents which will contain a vast array of empirical evidence with the other .
",
9113,Argumentative,," titles for women mean a sense of security to inhabit space is provided ; and women will be encouraged to invest in their land .
",
13523,Argumentative,," whilst is it possible for men to speak on women 's issues , some topics of debate , e.g. on family issues or equality in the workplace , are still seen as less important than economics or foreign policy .
",
1514,Non-Argumentative,," sometimes even phone numbers, email addresses, and physical addresses are sold in this way.
",
7945,Argumentative,," pmcs are different to mercenaries in the sense that mercenaries will fight for the highest bidder .
",
6351,Argumentative,," furthermore , the tendency for resistance forces to base themselves in these refugee camps , threatened and continues to threaten to spread the war into these regions , either igniting the north-south civil war in sudan , or destabilizing chad 's government .
",
158,Argumentative,,"surprisingly, there are some sceptics and kill-joys who raise doubts about santa claus, questioning his relevance to a christian festival celebrating christ’s birth, his involvement in the commercialisation of christmas, and even santa’s very existence.
",
5514,Argumentative,," it was never the fault of these children that others started to drink and harm them .
",
15869,Argumentative,," although the vessels are different , the fundamental activity is the same , and thus if taekwondo is valid as an olympic sport , so should chess be .
",
15758,Argumentative,," they need coaches to guide them , stadiums in which to practice , sponsorship and funding to allow participation at some competitions .
",
2047,Argumentative,," italy 's credit rating in the 1990s was the highest rating , triple a , it has since declined to a + .
",
7050,Non-Argumentative,," the model is currently gaining regional support, with uganda and kenya implementing similar taxation models.
",
5028,Argumentative,," this market equilibration is impossible under conventional patent laws , as it is in the interest of firms to withhold production and to engage in monopolist rent-seeking from consumers3 .
",
6156,Non-Argumentative,," ultimately is the undp (2013) right to propose legal frameworks as requirements to prevent hiv/aids and vulnerability?
",
3885,Argumentative,," they signify a welcoming society , in which it is unacceptable to offend entire segments of the population by debasing what they hold most precious .
",
13629,Argumentative,," to put it bluntly any military or intelligence service wants to keep its own men safe while carrying out its missions ; unmanned aerial vehicles are the ultimate capability with which to manage this .
",
801,Non-Argumentative,," nationalism can be defined by common origin or ethnicity or sometimes just of cultural ties based on where they live.
",
7460,Argumentative,," we should consider the downfall of such a dictator to be a success and benefit to libya and all who gaddafi threatened .
",
13757,Argumentative,," referendums will remedy this and increase engagement with the political system , because people will know that their views simply can not be ignored .
",
3727,Non-Argumentative,,"proponents of shale gas argue that it can provide a vast new source of reliable and economical energy, as well as helping industrial economies move towards a lower-carbon future.
",
4452,Argumentative,," the issue is not access to the text ; it 's not even really about ownership of the book -- both of which are already possible -- but rather about how the book is treated .
",
11390,Argumentative,," in a world where state agencies would have the possibility of tracking everyone 's moves without any person knowing it , we would reach a point in which the population lose their trust in their elected officials .
",
13090,Argumentative,," the democratic process is diminished when changing opinion polls interrupts substantive dialogue .
",
803,Non-Argumentative,,"  italy and germany for example existed for much of the middle ages as collections of duchies and city states with varying degrees of connection between them.
",
15050,Non-Argumentative,,"    as the use of forced marriage already carries strict penalties, this debate will focus purely on arranged marriages.
",
1340,Argumentative,,"  a trust fund can ensure that money from oil goes to the poorest not the richest .
",
15423,Argumentative,," if markets in sex were to become legal , the rights of providers , and clients , to sexual autonomy would need to be respected .
",
11107,Non-Argumentative,," the international criminal court (icc) was born out of these efforts to recognize an international court on july 1,with the founding of the rome statute to prosecute crimes against humanity, genocide, and war crimes.
",
13473,Argumentative,," a forty year-old senior n.c.o. , non-commissioned officer , faces a much easier set of targets than hisyear-old subordinate , yet both are deployed in an active combat role .
",
1007,Argumentative,," celebrities are products of the society that admires them , and so as a result they owe a particularly high duty to that society .
",
16179,Argumentative,," gender perceptions have obviously come a long way in the lastyears , but the media classification of women 's sport as inferior to men 's is severely slowing this progress in the field of sport .
",
3295,Argumentative,," schools are constantly pressed for time , money and staff .
",
4031,Argumentative,," this is the case with all large scale communities .
",
6019,Argumentative,," schools are playing an increasingly formative role , in the sense that they 're being tasked with not only knowledge transfer , but also the creation of behaviors and placing emphasis on teaching students how to apply their knowledge .
",
1985,Non-Argumentative,," some suggest that governments have a duty to provide service through monopolies run by state companies, and that these services would be more efficient than private provision.
",
12081,Argumentative,," there might be many cases where a relative is terminally ill , yet not dead yet .
",
9732,Argumentative,," the february estimate ofkilled is up from an estimate ofonly a month before , so clearly the violence is escalating .
",
10020,Non-Argumentative,," its formation came after the failures of the league of nations, an international organisation that had the same lofty goal of preventing war.
",
9773,Argumentative,," if they do n't have weapons to arm their military , civil war and genocide become more difficult to perpetrate .
",
9048,Non-Argumentative,," forced evictions are permanent, or temporary, evictions which occur without appropriate protection – legal or other.
",
12957,Non-Argumentative,," is divided government more stable?
",
